[2018-01-10 09:22:05] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515547325'
[2018-01-10 09:24:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515547443'
[2018-01-10 09:26:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515547563'
[2018-01-10 09:28:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515547683'
[2018-01-10 09:30:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515547802'
[2018-01-10 09:32:04] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515547923'
[2018-01-10 09:34:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515548042'
[2018-01-10 09:36:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515548163'
[2018-01-10 09:38:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515548283'
[2018-01-10 09:40:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515548403'
[2018-01-10 09:42:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515548522'
[2018-01-10 09:44:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515548643'
[2018-01-10 09:46:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515548763'
[2018-01-10 09:48:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515548883'
[2018-01-10 09:50:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515549002'
[2018-01-10 09:52:02] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515549122'
[2018-01-10 09:54:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515549243'
[2018-01-10 09:56:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515549363'
[2018-01-10 09:58:03] select `aid`, `tid`, `cid`, `wid` from `fb_article` where (`article_status` = '4') and `send_time` < '1515549483'
[2018-01-10 09:59:02] select SUM(share) as share, SUM(read_article) as read_article, SUM(inter_access) as inter_access, SUM(histexternal_accessry) as histexternal_accessry, SUM(views) as views, SUM(clicks) as clicks from `fb_article_log` where (`ctime` = '1515513600') limit 1
[2018-01-10 09:59:02] select `id` from `fb_operating` where (`ctime` = '1515513600') limit 1
